GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
iTrust2,edu.ncsu.csc.itrust2.controllers,DefaultController,20,3,0,0,4,1,1,1,1,1
iTrust2,edu.ncsu.csc.itrust2.forms.patient,AppointmentForm,17,0,0,0,7,0,5,0,5,0
iTrust2,edu.ncsu.csc.itrust2.forms.patient,AppointmentRequestForm,69,52,2,0,16,23,4,15,3,15
iTrust2,edu.ncsu.csc.itrust2.utils,LoggerUtil,8,62,0,0,3,19,2,8,2,8
iTrust2,edu.ncsu.csc.itrust2.utils,DBUtil,54,55,9,5,14,16,9,1,2,1
iTrust2,edu.ncsu.csc.itrust2.utils,EmailUtil,166,28,14,6,44,10,13,2,4,1
iTrust2,edu.ncsu.csc.itrust2.utils,EmailUtil.new Authenticator() {...},17,0,0,0,2,0,2,0,2,0
iTrust2,edu.ncsu.csc.itrust2.utils,LoggerUtil.new Comparator() {...},8,3,0,0,1,1,1,1,1,1
iTrust2,edu.ncsu.csc.itrust2.utils,HibernateUtil,24,14,2,0,7,4,3,4,2,4
iTrust2,edu.ncsu.csc.itrust2.models.persistent,LoginBan,10,67,0,4,4,16,3,15,3,13
iTrust2,edu.ncsu.csc.itrust2.models.persistent,LoginLockout,70,118,4,8,12,23,9,20,7,16
iTrust2,edu.ncsu.csc.itrust2.models.persistent,ICDCode,18,237,5,27,3,41,6,22,1,11
iTrust2,edu.ncsu.csc.itrust2.models.persistent,Personnel,8,173,1,1,2,62,1,32,0,32
iTrust2,edu.ncsu.csc.itrust2.models.persistent,BasicHealthMetrics.new Comparator() {...},9,0,0,0,2,0,2,0,2,0
iTrust2,edu.ncsu.csc.itrust2.models.persistent,User,61,253,19,21,17,69,20,23,4,19
iTrust2,edu.ncsu.csc.itrust2.models.persistent,Prescription,12,131,0,2,5,46,1,20,1,19
iTrust2,edu.ncsu.csc.itrust2.models.persistent,LoginAttempt,10,59,0,0,4,16,3,13,3,13
iTrust2,edu.ncsu.csc.itrust2.models.persistent,Patient,12,428,3,49,4,124,3,71,0,48
iTrust2,edu.ncsu.csc.itrust2.models.persistent,AppointmentRequest,28,169,1,1,10,50,5,18,4,18
iTrust2,edu.ncsu.csc.itrust2.models.persistent,DomainObject,63,175,1,9,19,56,2,15,1,11
iTrust2,edu.ncsu.csc.itrust2.models.persistent,Drug,3,76,0,0,2,26,0,14,0,14
iTrust2,edu.ncsu.csc.itrust2.models.persistent,Diagnosis,3,70,0,0,2,20,0,14,0,14
iTrust2,edu.ncsu.csc.itrust2.models.persistent,BasicHealthMetrics,166,517,51,85,39,138,52,52,8,28
iTrust2,edu.ncsu.csc.itrust2.models.persistent,AppointmentRequest.new Comparator() {...},6,3,0,0,1,1,1,1,1,1
iTrust2,edu.ncsu.csc.itrust2.models.persistent,OfficeVisit,197,627,50,48,49,159,43,47,8,33
iTrust2,edu.ncsu.csc.itrust2.models.persistent,OfficeVisit.new Comparator() {...},6,3,0,0,1,1,1,1,1,1
iTrust2,edu.ncsu.csc.itrust2.models.persistent,Hospital,6,82,0,0,2,30,2,13,2,13
iTrust2,edu.ncsu.csc.itrust2.models.persistent,PasswordResetToken,20,116,1,7,6,33,4,15,3,12
iTrust2,edu.ncsu.csc.itrust2.models.persistent,LogEntry,21,110,0,0,7,38,4,15,4,15
iTrust2,edu.ncsu.csc.itrust2.controllers.patient,DiagnosesController,2,3,0,0,1,1,1,1,1,1
iTrust2,edu.ncsu.csc.itrust2.controllers.patient,AppointmentController,122,3,4,0,31,1,7,1,5,1
iTrust2,edu.ncsu.csc.itrust2.controllers.patient,PatientController,79,3,4,0,25,1,7,1,5,1
iTrust2,edu.ncsu.csc.itrust2.forms.hcp_patient,PatientForm,1,280,9,9,1,94,9,42,0,42
iTrust2,edu.ncsu.csc.itrust2.controllers.api.comm,LogEntryTableRow,25,33,0,0,9,16,8,7,8,7
iTrust2,edu.ncsu.csc.itrust2.controllers.api.comm,LogEntryRequestBody,0,31,0,0,0,14,0,9,0,9
iTrust2,edu.ncsu.csc.itrust2.forms.admin,HospitalForm,0,51,0,0,0,20,0,10,0,10
iTrust2,edu.ncsu.csc.itrust2.forms.admin,UserForm,18,68,1,1,5,26,2,13,1,13
iTrust2,edu.ncsu.csc.itrust2.forms.admin,DeleteUserForm,17,0,0,0,7,0,5,0,5,0
iTrust2,edu.ncsu.csc.itrust2.forms.admin,DrugForm,23,27,0,0,8,12,2,8,2,8
iTrust2,edu.ncsu.csc.itrust2.forms.admin,ICDCodeForm,3,66,4,4,1,19,4,9,0,9
iTrust2,edu.ncsu.csc.itrust2.forms.admin,DeleteHospitalForm,17,0,0,0,7,0,5,0,5,0
iTrust2,edu.ncsu.csc.itrust2.config,ITrust2ApplicationInitializer,33,0,0,0,5,0,5,0,5,0
iTrust2,edu.ncsu.csc.itrust2.config,SecurityConfig,0,105,0,0,0,19,0,8,0,8
iTrust2,edu.ncsu.csc.itrust2.config,RootConfiguration,0,3,0,0,0,1,0,1,0,1
iTrust2,edu.ncsu.csc.itrust2.config,IPFilter,75,3,12,0,14,1,7,1,1,1
iTrust2,edu.ncsu.csc.itrust2.config,ContextListener,6,0,0,0,4,0,3,0,3,0
iTrust2,edu.ncsu.csc.itrust2.config,ITrust2WebApplicationInitializer,3,0,0,0,1,0,1,0,1,0
iTrust2,edu.ncsu.csc.itrust2.config,LoginAuditingListener,48,10,6,2,14,4,4,2,0,2
iTrust2,edu.ncsu.csc.itrust2.config,FailureHandler,302,3,30,0,94,1,16,1,1,1
iTrust2,edu.ncsu.csc.itrust2.config,DataConfiguration,0,5,0,0,0,2,0,2,0,2
iTrust2,edu.ncsu.csc.itrust2.models.enums,TransactionType,8,808,0,0,1,68,2,5,2,5
iTrust2,edu.ncsu.csc.itrust2.models.enums,PatientSmokingStatus,36,93,4,0,6,11,6,3,4,3
iTrust2,edu.ncsu.csc.itrust2.models.enums,Ethnicity,7,129,1,3,1,19,2,8,1,7
iTrust2,edu.ncsu.csc.itrust2.models.enums,HouseholdSmokingStatus,36,60,4,0,6,8,6,3,4,3
iTrust2,edu.ncsu.csc.itrust2.models.enums,State,2,634,1,5,1,64,1,10,0,8
iTrust2,edu.ncsu.csc.itrust2.models.enums,Gender,9,105,2,2,1,17,3,7,1,7
iTrust2,edu.ncsu.csc.itrust2.models.enums,AppointmentType,3,32,0,0,1,5,1,4,1,4
iTrust2,edu.ncsu.csc.itrust2.models.enums,Status,3,54,0,0,1,7,1,4,1,4
iTrust2,edu.ncsu.csc.itrust2.models.enums,Role,6,60,0,0,2,8,2,4,2,4
iTrust2,edu.ncsu.csc.itrust2.models.enums,BloodType,7,162,1,3,1,22,2,8,1,7
iTrust2,edu.ncsu.csc.itrust2.controllers.personnel,UserController,59,3,2,0,18,1,3,1,2,1
iTrust2,edu.ncsu.csc.itrust2.controllers.personnel,PasswordController,12,3,0,0,4,1,3,1,3,1
iTrust2,edu.ncsu.csc.itrust2.controllers.admin,AdminController,3,3,0,0,1,1,1,1,1,1
iTrust2,edu.ncsu.csc.itrust2.controllers.admin,AdminUserController.new Object() {...},26,0,0,0,1,0,1,0,1,0
iTrust2,edu.ncsu.csc.itrust2.controllers.admin,ICDCodesController,2,3,0,0,1,1,1,1,1,1
iTrust2,edu.ncsu.csc.itrust2.controllers.admin,AdminUserController,124,3,13,0,37,1,12,1,5,1
iTrust2,edu.ncsu.csc.itrust2.controllers.admin,HospitalController,89,3,10,0,26,1,9,1,4,1
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIDiagnosisController,64,24,5,1,11,5,5,2,2,2
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIOfficeVisitController,134,238,8,14,20,46,8,13,3,7
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIPasswordController,404,71,14,4,76,15,10,4,2,3
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APILogEntryController,38,208,9,21,8,47,9,8,0,2
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIPatientController,87,218,4,18,13,39,4,13,1,5
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIPrescriptionController,134,131,5,3,17,27,5,5,1,5
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIDrugController,100,160,2,8,12,28,2,8,0,5
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIController,4,29,0,0,1,6,1,6,1,6
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIPersonnelController,42,130,1,11,6,25,1,10,0,5
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIUserController,116,127,15,9,24,21,10,9,2,5
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIEnumController,18,54,0,0,6,6,2,10,2,10
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIController.JSONResponse,0,9,0,0,0,4,0,1,0,1
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIAppointmentRequestController,111,176,7,11,22,32,5,11,0,7
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIICDCodeController,107,145,1,3,20,32,2,6,1,5
iTrust2,edu.ncsu.csc.itrust2.controllers.api,APIHospitalController,56,106,2,8,10,19,3,7,1,4
iTrust2,edu.ncsu.csc.itrust2.forms.hcp,OfficeVisitForm,82,146,2,0,16,63,4,42,3,42
iTrust2,edu.ncsu.csc.itrust2.forms.hcp,PrescriptionForm,0,97,0,0,0,33,0,16,0,16
iTrust2,edu.ncsu.csc.itrust2.controllers.hcp,AppointmentControllerHCP,181,3,8,0,36,1,11,1,7,1
iTrust2,edu.ncsu.csc.itrust2.controllers.hcp,OfficeVisitController,116,3,2,0,27,1,4,1,3,1
iTrust2,edu.ncsu.csc.itrust2.controllers.hcp,HCPController,7,3,0,0,3,1,3,1,3,1
iTrust2,edu.ncsu.csc.itrust2.mvc.config,WebMvcConfiguration,0,87,0,0,0,23,0,7,0,7
iTrust2,edu.ncsu.csc.itrust2.forms.personnel,PasswordChangeForm,0,155,0,24,0,34,0,22,0,10
iTrust2,edu.ncsu.csc.itrust2.forms.personnel,PersonnelForm,20,158,6,4,8,57,7,27,2,27
